Dataset,TF,IDF,Norm,Precision@10,Recall,MAP
MED,natural,standard,none,0.6300000000000001,0.3019081532183731,0.24655505951357276
MED,natural,standard,cosine,0.6333333333333333,0.3091884598348866,0.2562680037961077
MED,natural,standard,pivoted,0.6300000000000001,0.3019081532183731,0.24527338272842375
MED,natural,standard,byte,0.6333333333333333,0.30753498806934587,0.2467591135907293
MED,natural,probabilistic,none,0.6366666666666667,0.3039533302635501,0.24832917015662317
MED,natural,probabilistic,cosine,0.63,0.3090071596535865,0.25455317583083115
MED,natural,probabilistic,pivoted,0.6366666666666667,0.3039533302635501,0.248278876534901
MED,natural,probabilistic,byte,0.6333333333333333,0.30753498806934587,0.24673916540954927
MED,natural,none,none,0.4866666666666667,0.23469857956627072,0.1767971539167764
MED,natural,none,cosine,0.5533333333333332,0.2659302149609496,0.22344102377666167
MED,natural,none,pivoted,0.49,0.23678191289960404,0.17879552252347833
MED,natural,none,byte,0.5266666666666667,0.2538350736114354,0.20396516385055202
MED,augmented,standard,none,0.61,0.29940114333430173,0.24756499257936182
MED,augmented,standard,cosine,0.64,0.31289020409485174,0.2577698499067179
MED,augmented,standard,pivoted,0.6066666666666667,0.30134492861142037,0.2513132351979064
MED,augmented,standard,byte,0.5233333333333334,0.25408629071410177,0.18050381648450223
MED,augmented,probabilistic,none,0.6,0.29547934049945546,0.24550705007455942
MED,augmented,probabilistic,cosine,0.6366666666666666,0.3094404686451163,0.25430400838498873
MED,augmented,probabilistic,pivoted,0.5999999999999999,0.29625525660870494,0.2462749461877575
MED,augmented,probabilistic,byte,0.5333333333333333,0.26079127155701365,0.18457159086902794
MED,augmented,none,none,0.61,0.29317455900626815,0.24703456978200705
MED,augmented,none,cosine,0.5966666666666666,0.2886092803863918,0.25016700255823776
MED,augmented,none,pivoted,0.6033333333333334,0.2914782559766318,0.24315540526866636
MED,augmented,none,byte,0.4366666666666666,0.20281540217872054,0.13802001696391047
MED,boolean,standard,none,0.5733333333333334,0.2817881509461969,0.22991591186668273
MED,boolean,standard,cosine,0.5700000000000001,0.2811573457276856,0.22282951170330229
MED,boolean,standard,pivoted,0.57,0.2820298845212639,0.22974213345051014
MED,boolean,standard,byte,0.51,0.2463626699653686,0.1687002538813414
MED,boolean,probabilistic,none,0.57,0.2805976747557208,0.22920657490734575
MED,boolean,probabilistic,cosine,0.5700000000000001,0.2805627712200676,0.22325713218979956
MED,boolean,probabilistic,pivoted,0.5666666666666667,0.2807478332392126,0.2296708302252717
MED,boolean,probabilistic,byte,0.5133333333333334,0.24755314615584478,0.16919723320272548
MED,boolean,none,none,0.5533333333333333,0.2707218761369186,0.22411823818127927
